Goal,Target,Indicator,Country,Year,Value,Education Level,Location,Nature,Quartile,Sex
4,4.1,4.1.2,China,2000,28.1,UPPSEC,ALLAREA,E,_T,FEMALE
4,4.1,4.1.2,China,2000,29.7,UPPSEC,ALLAREA,E,_T,BOTHSEX
4,4.1,4.1.2,China,2000,31.1,UPPSEC,ALLAREA,E,_T,MALE
4,4.1,4.1.2,China,2000,90.8,PRIMAR,ALLAREA,E,_T,MALE
4,4.1,4.1.2,China,2000,87.6,PRIMAR,ALLAREA,E,_T,FEMALE
4,4.1,4.1.2,China,2000,87.7,PRIMAR,ALLAREA,E,_T,BOTHSEX
4,4.1,4.1.2,China,2000,66.1,LOWSEC,ALLAREA,E,_T,FEMALE
4,4.1,4.1.2,China,2000,70.4,LOWSEC,ALLAREA,E,_T,MALE
4,4.1,4.1.2,China,2000,68.3,LOWSEC,ALLAREA,E,_T,BOTHSEX
4,4.1,4.1.2,China,2001,32.3,UPPSEC,ALLAREA,E,_T,MALE
4,4.1,4.1.2,China,2001,31.3,UPPSEC,ALLAREA,E,_T,BOTHSEX
4,4.1,4.1.2,China,2001,91.5,PRIMAR,ALLAREA,E,_T,MALE
4,4.1,4.1.2,China,2001,30,UPPSEC,ALLAREA,E,_T,FEMALE
4,4.1,4.1.2,China,2001,69.5,LOWSEC,ALLAREA,E,_T,BOTHSEX
4,4.1,4.1.2,China,2001,71.4,LOWSEC,ALLAREA,E,_T,MALE
4,4.1,4.1.2,China,2001,67.6,LOWSEC,ALLAREA,E,_T,FEMALE
4,4.1,4.1.2,China,2001,88.70001,PRIMAR,ALLAREA,E,_T,BOTHSEX
4,4.1,4.1.2,China,2001,88.5,PRIMAR,ALLAREA,E,_T,FEMALE
4,4.1,4.1.2,China,2002,72.29999,LOWSEC,ALLAREA,E,_T,MALE
4,4.1,4.1.2,China,2002,70.6,LOWSEC,ALLAREA,E,_T,BOTHSEX
4,4.1,4.1.2,China,2002,31.8,UPPSEC,ALLAREA,E,_T,FEMALE
4,4.1,4.1.2,China,2002,32.7,UPPSEC,ALLAREA,E,_T,BOTHSEX
4,4.1,4.1.2,China,2002,33.4,UPPSEC,ALLAREA,E,_T,MALE
4,4.1,4.1.2,China,2002,92.1,PRIMAR,ALLAREA,E,_T,MALE
4,4.1,4.1.2,China,2002,89.5,PRIMAR,ALLAREA,E,_T,FEMALE
4,4.1,4.1.2,China,2002,89.60001,PRIMAR,ALLAREA,E,_T,BOTHSEX
4,4.1,4.1.2,China,2002,68.9,LOWSEC,ALLAREA,E,_T,FEMALE
4,4.1,4.1.2,China,2003,33.9,UPPSEC,ALLAREA,E,_T,BOTHSEX
4,4.1,4.1.2,China,2003,33.5,UPPSEC,ALLAREA,E,_T,FEMALE
4,4.1,4.1.2,China,2003,71.8,LOWSEC,ALLAREA,E,_T,BOTHSEX
4,4.1,4.1.2,China,2003,73.5,LOWSEC,ALLAREA,E,_T,MALE
4,4.1,4.1.2,China,2003,70.4,LOWSEC,ALLAREA,E,_T,FEMALE
4,4.1,4.1.2,China,2003,34.4,UPPSEC,ALLAREA,E,_T,MALE
